index,Location,FIPS,Category,Mortality Rate,Year,,,,,,,,,,,,,
21447,Pennsylvania,42,Neurological disorders,70.26,1980,,,,,,,,,,,,,
21515,Rhode Island,44,Neurological disorders,78.97,1980,,,,,,,,,,,,,
21521,South Carolina,45,Neurological disorders,88.39,1980,,,,,,,,,,,,,
21568,South Dakota,46,Neurological disorders,80.29,1980,,,,,,,,,,,,,
21635,Tennessee,47,Neurological disorders,79.7,1980,,,,,,,,,,,,,
21731,Texas,48,Neurological disorders,75.6,1980,,,,,,,,,,,,,
21986,Utah,49,Neurological disorders,123.86,1980,,,,,,,,,,,,,
22016,Vermont,50,Neurological disorders,121.29,1980,,,,,,,,,,,,,
22031,Virginia,51,Neurological disorders,91.89,1980,,,,,,,,,,,,,
22165,Washington,53,Neurological disorders,126.14,1980,,,,,,,,,,,,,
22205,West Virginia,54,Neurological disorders,64.03,1980,,,,,,,,,,,,,
22261,Wisconsin,55,Neurological disorders,98.87,1980,,,,,,,,,,,,,
22334,Wyoming,56,Neurological disorders,112.72,1980,,,,,,,,,,,,,
25553,Alabama,1,Mental and substance use disorders,3.85,1980,,,,,,,,,,,,,
25621,Alaska,2,Mental and substance use disorders,12.45,1980,,,,,,,,,,,,,
25651,Arizona,4,Mental and substance use disorders,6.8,1980,,,,,,,,,,,,,
25667,Arkansas,5,Mental and substance use disorders,2.36,1980,,,,,,,,,,,,,
25743,California,6,Mental and substance use disorders,6.48,1980,,,,,,,,,,,,,
25802,Colorado,8,Mental and substance use disorders,4.97,1980,,,,,,,,,,,,,
25867,Connecticut,9,Mental and substance use disorders,4.53,1980,,,,,,,,,,,,,
25876,Delaware,10,Mental and substance use disorders,5.68,1980,,,,,,,,,,,,,
25880,District of Columbia,11,Mental and substance use disorders,12.64,1980,,,,,,,,,,,,,
25882,Florida,12,Mental and substance use disorders,5.47,1980,,,,,,,,,,,,,
25950,Georgia,13,Mental and substance use disorders,7.33,1980,,,,,,,,,,,,,
26110,Hawaii,15,Mental and substance use disorders,1.81,1980,,,,,,,,,,,,,
26116,Idaho,16,Mental and substance use disorders,3.69,1980,,,,,,,,,,,,,
26161,Illinois,17,Mental and substance use disorders,3.72,1980,,,,,,,,,,,,,
26264,Indiana,18,Mental and substance use disorders,2.33,1980,,,,,,,,,,,,,
26357,Iowa,19,Mental and substance use disorders,2.11,1980,,,,,,,,,,,,,
26457,Kansas,20,Mental and substance use disorders,2.73,1980,,,,,,,,,,,,,
26563,Kentucky,21,Mental and substance use disorders,3.2,1980,,,,,,,,,,,,,
26684,Louisiana,22,Mental and substance use disorders,3.24,1980,,,,,,,,,,,,,
26749,Maine,23,Mental and substance use disorders,3.83,1980,,,,,,,,,,,,,
26766,Maryland,24,Mental and substance use disorders,5.07,1980,,,,,,,,,,,,,
26791,Massachusetts,25,Mental and substance use disorders,2.43,1980,,,,,,,,,,,,,
26806,Michigan,26,Mental and substance use disorders,4.86,1980,,,,,,,,,,,,,
26890,Minnesota,27,Mental and substance use disorders,3.19,1980,,,,,,,,,,,,,
26978,Mississippi,28,Mental and substance use disorders,3.73,1980,,,,,,,,,,,,,
27061,Missouri,29,Mental and substance use disorders,3.4,1980,,,,,,,,,,,,,
27177,Montana,30,Mental and substance use disorders,4.47,1980,,,,,,,,,,,,,
27234,Nebraska,31,Mental and substance use disorders,2.6,1980,,,,,,,,,,,,,
27328,Nevada,32,Mental and substance use disorders,7.1,1980,,,,,,,,,,,,,
27346,New Hampshire,33,Mental and substance use disorders,2.33,1980,,,,,,,,,,,,,
27357,New Jersey,34,Mental and substance use disorders,4.18,1980,,,,,,,,,,,,,
27379,New Mexico,35,Mental and substance use disorders,12.33,1980,,,,,,,,,,,,,
27413,New York,36,Mental and substance use disorders,7.38,1980,,,,,,,,,,,,,
27476,North Carolina,37,Mental and substance use disorders,7.65,1980,,,,,,,,,,,,,
27577,North Dakota,38,Mental and substance use disorders,3.21,1980,,,,,,,,,,,,,
27631,Ohio,39,Mental and substance use disorders,2.44,1980,,,,,,,,,,,,,
27720,Oklahoma,40,Mental and substance use disorders,4.43,1980,,,,,,,,,,,,,
27798,Oregon,41,Mental and substance use disorders,5.4,1980,,,,,,,,,,,,,
27835,Pennsylvania,42,Mental and substance use disorders,3.03,1980,,,,,,,,,,,,,
27903,Rhode Island,44,Mental and substance use disorders,4.76,1980,,,,,,,,,,,,,
27909,South Carolina,45,Mental and substance use disorders,7.16,1980,,,,,,,,,,,,,
27956,South Dakota,46,Mental and substance use disorders,4.22,1980,,,,,,,,,,,,,
28023,Tennessee,47,Mental and substance use disorders,4.2,1980,,,,,,,,,,,,,
28119,Texas,48,Mental and substance use disorders,3.26,1980,,,,,,,,,,,,,
28374,Utah,49,Mental and substance use disorders,3.23,1980,,,,,,,,,,,,,
28404,Vermont,50,Mental and substance use disorders,3.19,1980,,,,,,,,,,,,,
28419,Virginia,51,Mental and substance use disorders,4.91,1980,,,,,,,,,,,,,
28553,Washington,53,Mental and substance use disorders,4.57,1980,,,,,,,,,,,,,
28593,West Virginia,54,Mental and substance use disorders,2.8,1980,,,,,,,,,,,,,
28649,Wisconsin,55,Mental and substance use disorders,4.08,1980,,,,,,,,,,,,,
28722,Wyoming,56,Mental and substance use disorders,4.55,1980,,,,,,,,,,,,,
35135,Alabama,1,Nutritional deficiencies,2.06,1980,,,,,,,,,,,,,
35203,Alaska,2,Nutritional deficiencies,2.43,1980,,,,,,,,,,,,,
35233,Arizona,4,Nutritional deficiencies,2.02,1980,,,,,,,,,,,,,
35249,Arkansas,5,Nutritional deficiencies,1.73,1980,,,,,,,,,,,,,
35325,California,6,Nutritional deficiencies,1.09,1980,,,,,,,,,,,,,
35384,Colorado,8,Nutritional deficiencies,2.71,1980,,,,,,,,,,,,,
35449,Connecticut,9,Nutritional deficiencies,1.14,1980,,,,,,,,,,,,,
35458,Delaware,10,Nutritional deficiencies,2.27,1980,,,,,,,,,,,,,
35462,District of Columbia,11,Nutritional deficiencies,2.2,1980,,,,,,,,,,,,,
35464,Florida,12,Nutritional deficiencies,1.4,1980,,,,,,,,,,,,,
35532,Georgia,13,Nutritional deficiencies,2.24,1980,,,,,,,,,,,,,
35692,Hawaii,15,Nutritional deficiencies,1.67,1980,,,,,,,,,,,,,
35698,Idaho,16,Nutritional deficiencies,1.93,1980,,,,,,,,,,,,,
35743,Illinois,17,Nutritional deficiencies,1.82,1980,,,,,,,,,,,,,
35846,Indiana,18,Nutritional deficiencies,1.87,1980,,,,,,,,,,,,,
35939,Iowa,19,Nutritional deficiencies,1.92,1980,,,,,,,,,,,,,
36039,Kansas,20,Nutritional deficiencies,2.38,1980,,,,,,,,,,,,,
36145,Kentucky,21,Nutritional deficiencies,2,1980,,,,,,,,,,,,,
36266,Louisiana,22,Nutritional deficiencies,2.18,1980,,,,,,,,,,,,,
36331,Maine,23,Nutritional deficiencies,2.18,1980,,,,,,,,,,,,,
36348,Maryland,24,Nutritional deficiencies,1.87,1980,,,,,,,,,,,,,
36373,Massachusetts,25,Nutritional deficiencies,1.46,1980,,,,,,,,,,,,,
36388,Michigan,26,Nutritional deficiencies,1.87,1980,,,,,,,,,,,,,
36472,Minnesota,27,Nutritional deficiencies,1.91,1980,,,,,,,,,,,,,
36560,Mississippi,28,Nutritional deficiencies,2,1980,,,,,,,,,,,,,
36643,Missouri,29,Nutritional deficiencies,2.52,1980,,,,,,,,,,,,,
36759,Montana,30,Nutritional deficiencies,2.12,1980,,,,,,,,,,,,,
36816,Nebraska,31,Nutritional deficiencies,1.76,1980,,,,,,,,,,,,,
36910,Nevada,32,Nutritional deficiencies,2.62,1980,,,,,,,,,,,,,
36928,New Hampshire,33,Nutritional deficiencies,2.11,1980,,,,,,,,,,,,,
36939,New Jersey,34,Nutritional deficiencies,1.71,1980,,,,,,,,,,,,,
36961,New Mexico,35,Nutritional deficiencies,3.06,1980,,,,,,,,,,,,,
36995,New York,36,Nutritional deficiencies,0.86,1980,,,,,,,,,,,,,
37058,North Carolina,37,Nutritional deficiencies,1.7,1980,,,,,,,,,,,,,
37159,North Dakota,38,Nutritional deficiencies,1.9,1980,,,,,,,,,,,,,
37213,Ohio,39,Nutritional deficiencies,2.15,1980,,,,,,,,,,,,,
37302,Oklahoma,40,Nutritional deficiencies,1.82,1980,,,,,,,,,,,,,
37380,Oregon,41,Nutritional deficiencies,1.54,1980,,,,,,,,,,,,,
37417,Pennsylvania,42,Nutritional deficiencies,1.89,1980,,,,,,,,,,,,,
37485,Rhode Island,44,Nutritional deficiencies,1.44,1980,,,,,,,,,,,,,
37491,South Carolina,45,Nutritional deficiencies,2.14,1980,,,,,,,,,,,,,
37538,South Dakota,46,Nutritional deficiencies,1.89,1980,,,,,,,,,,,,,
37605,Tennessee,47,Nutritional deficiencies,1.8,1980,,,,,,,,,,,,,
37701,Texas,48,Nutritional deficiencies,1.84,1980,,,,,,,,,,,,,
37956,Utah,49,Nutritional deficiencies,2.3,1980,,,,,,,,,,,,,
37986,Vermont,50,Nutritional deficiencies,1.8,1980,,,,,,,,,,,,,
38001,Virginia,51,Nutritional deficiencies,2.03,1980,,,,,,,,,,,,,
38135,Washington,53,Nutritional deficiencies,1.88,1980,,,,,,,,,,,,,
38175,West Virginia,54,Nutritional deficiencies,2.1,1980,,,,,,,,,,,,,
38231,Wisconsin,55,Nutritional deficiencies,1.96,1980,,,,,,,,,,,,,
38304,Wyoming,56,Nutritional deficiencies,2.27,1980,,,,,,,,,,,,,
54299,Alabama,1,Self-harm and interpersonal violence,30.16,1980,,,,,,,,,,,,,
54367,Alaska,2,Self-harm and interpersonal violence,24.67,1980,,,,,,,,,,,,,
54397,Arizona,4,Self-harm and interpersonal violence,30.24,1980,,,,,,,,,,,,,
54413,Arkansas,5,Self-harm and interpersonal violence,27.56,1980,,,,,,,,,,,,,
54489,California,6,Self-harm and interpersonal violence,29.72,1980,,,,,,,,,,,,,
54548,Colorado,8,Self-harm and interpersonal violence,26.56,1980,,,,,,,,,,,,,
54613,Connecticut,9,Self-harm and interpersonal violence,17.26,1980,,,,,,,,,,,,,
54622,Delaware,10,Self-harm and interpersonal violence,21.28,1980,,,,,,,,,,,,,
54626,District of Columbia,11,Self-harm and interpersonal violence,52.38,1980,,,,,,,,,,,,,
54628,Florida,12,Self-harm and interpersonal violence,33.11,1980,,,,,,,,,,,,,
54696,Georgia,13,Self-harm and interpersonal violence,31.48,1980,,,,,,,,,,,,,
54856,Hawaii,15,Self-harm and interpersonal violence,19.81,1980,,,,,,,,,,,,,
54862,Idaho,16,Self-harm and interpersonal violence,22,1980,,,,,,,,,,,,,
54907,Illinois,17,Self-harm and interpersonal violence,25.14,1980,,,,,,,,,,,,,
55010,Indiana,18,Self-harm and interpersonal violence,21.34,1980,,,,,,,,,,,,,
55103,Iowa,19,Self-harm and interpersonal violence,15.78,1980,,,,,,,,,,,,,
55203,Kansas,20,Self-harm and interpersonal violence,20.23,1980,,,,,,,,,,,,,
55309,Kentucky,21,Self-harm and interpersonal violence,23.26,1980,,,,,,,,,,,,,
55430,Louisiana,22,Self-harm and interpersonal violence,32.33,1980,,,,,,,,,,,,,
55495,Maine,23,Self-harm and interpersonal violence,17.76,1980,,,,,,,,,,,,,
55512,Maryland,24,Self-harm and interpersonal violence,26.47,1980,,,,,,,,,,,,,
55537,Massachusetts,25,Self-harm and interpersonal violence,16.79,1980,,,,,,,,,,,,,
55552,Michigan,26,Self-harm and interpersonal violence,24.49,1980,,,,,,,,,,,,,
55636,Minnesota,27,Self-harm and interpersonal violence,16.16,1980,,,,,,,,,,,,,
55724,Mississippi,28,Self-harm and interpersonal violence,29.79,1980,,,,,,,,,,,,,
55807,Missouri,29,Self-harm and interpersonal violence,27.08,1980,,,,,,,,,,,,,
55923,Montana,30,Self-harm and interpersonal violence,25.27,1980,,,,,,,,,,,,,
55980,Nebraska,31,Self-harm and interpersonal violence,17.23,1980,,,,,,,,,,,,,
56074,Nevada,32,Self-harm and interpersonal violence,41.62,1980,,,,,,,,,,,,,
56092,New Hampshire,33,Self-harm and interpersonal violence,16.81,1980,,,,,,,,,,,,,
56103,New Jersey,34,Self-harm and interpersonal violence,17.2,1980,,,,,,,,,,,,,
56125,New Mexico,35,Self-harm and interpersonal violence,34.28,1980,,,,,,,,,,,,,
56159,New York,36,Self-harm and interpersonal violence,24.82,1980,,,,,,,,,,,,,
56222,North Carolina,37,Self-harm and interpersonal violence,25.88,1980,,,,,,,,,,,,,
56323,North Dakota,38,Self-harm and interpersonal violence,14.43,1980,,,,,,,,,,,,,
56377,Ohio,39,Self-harm and interpersonal violence,21.16,1980,,,,,,,,,,,,,
56466,Oklahoma,40,Self-harm and interpersonal violence,25.07,1980,,,,,,,,,,,,,
56544,Oregon,41,Self-harm and interpersonal violence,23.07,1980,,,,,,,,,,,,,
56581,Pennsylvania,42,Self-harm and interpersonal violence,21.77,1980,,,,,,,,,,,,,
56649,Rhode Island,44,Self-harm and interpersonal violence,18.26,1980,,,,,,,,,,,,,
56655,South Carolina,45,Self-harm and interpersonal violence,26.21,1980,,,,,,,,,,,,,
56702,South Dakota,46,Self-harm and interpersonal violence,18.97,1980,,,,,,,,,,,,,
56769,Tennessee,47,Self-harm and interpersonal violence,26.85,1980,,,,,,,,,,,,,
56865,Texas,48,Self-harm and interpersonal violence,31.57,1980,,,,,,,,,,,,,
57120,Utah,49,Self-harm and interpersonal violence,23.59,1980,,,,,,,,,,,,,
57150,Vermont,50,Self-harm and interpersonal violence,19.41,1980,,,,,,,,,,,,,
57165,Virginia,51,Self-harm and interpersonal violence,24.92,1980,,,,,,,,,,,,,
57299,Washington,53,Self-harm and interpersonal violence,21.74,1980,,,,,,,,,,,,,
57339,West Virginia,54,Self-harm and interpersonal violence,22.5,1980,,,,,,,,,,,,,
57395,Wisconsin,55,Self-harm and interpersonal violence,17.78,1980,,,,,,,,,,,,,
57468,Wyoming,56,Self-harm and interpersonal violence,25.4,1980,,,,,,,,,,,,,
60687,Alabama,1,Transport injuries,33.43,1980,,,,,,,,,,,,,
60755,Alaska,2,Transport injuries,48.3,1980,,,,,,,,,,,,,
60785,Arizona,4,Transport injuries,35.71,1980,,,,,,,,,,,,,
60801,Arkansas,5,Transport injuries,31.38,1980,,,,,,,,,,,,,
60877,California,6,Transport injuries,25.47,1980,,,,,,,,,,,,,
60936,Colorado,8,Transport injuries,27.34,1980,,,,,,,,,,,,,
61001,Connecticut,9,Transport injuries,20.49,1980,,,,,,,,,,,,,
61010,Delaware,10,Transport injuries,25.86,1980,,,,,,,,,,,,,
61014,District of Columbia,11,Transport injuries,16.08,1980,,,,,,,,,,,,,
61016,Florida,12,Transport injuries,31.96,1980,,,,,,,,,,,,,
61084,Georgia,13,Transport injuries,31.22,1980,,,,,,,,,,,,,
61244,Hawaii,15,Transport injuries,19.6,1980,,,,,,,,,,,,,
61250,Idaho,16,Transport injuries,34.67,1980,,,,,,,,,,,,,
61295,Illinois,17,Transport injuries,20.81,1980,,,,,,,,,,,,,
61398,Indiana,18,Transport injuries,24.42,1980,,,,,,,,,,,,,
61491,Iowa,19,Transport injuries,23.24,1980,,,,,,,,,,,,,
61591,Kansas,20,Transport injuries,26.31,1980,,,,,,,,,,,,,
61697,Kentucky,21,Transport injuries,26.73,1980,,,,,,,,,,,,,
61818,Louisiana,22,Transport injuries,30.33,1980,,,,,,,,,,,,,
61883,Maine,23,Transport injuries,23.87,1980,,,,,,,,,,,,,
61900,Maryland,24,Transport injuries,22.68,1980,,,,,,,,,,,,,
61925,Massachusetts,25,Transport injuries,17.72,1980,,,,,,,,,,,,,
61940,Michigan,26,Transport injuries,22.88,1980,,,,,,,,,,,,,
62024,Minnesota,27,Transport injuries,21.67,1980,,,,,,,,,,,,,
62112,Mississippi,28,Transport injuries,36.89,1980,,,,,,,,,,,,,
62195,Missouri,29,Transport injuries,25.98,1980,,,,,,,,,,,,,
62311,Montana,30,Transport injuries,36.41,1980,,,,,,,,,,,,,
62368,Nebraska,31,Transport injuries,24.07,1980,,,,,,,,,,,,,
62462,Nevada,32,Transport injuries,36.13,1980,,,,,,,,,,,,,
62480,New Hampshire,33,Transport injuries,21.55,1980,,,,,,,,,,,,,
62491,New Jersey,34,Transport injuries,19.51,1980,,,,,,,,,,,,,
62513,New Mexico,35,Transport injuries,41.45,1980,,,,,,,,,,,,,
62547,New York,36,Transport injuries,18.59,1980,,,,,,,,,,,,,
62610,North Carolina,37,Transport injuries,29.55,1980,,,,,,,,,,,,,
62711,North Dakota,38,Transport injuries,24.65,1980,,,,,,,,,,,,,
62765,Ohio,39,Transport injuries,21.29,1980,,,,,,,,,,,,,
62854,Oklahoma,40,Transport injuries,31.72,1980,,,,,,,,,,,,,
62932,Oregon,41,Transport injuries,29.43,1980,,,,,,,,,,,,,
62969,Pennsylvania,42,Transport injuries,20.82,1980,,,,,,,,,,,,,
63037,Rhode Island,44,Transport injuries,15.78,1980,,,,,,,,,,,,,
63043,South Carolina,45,Transport injuries,33.49,1980,,,,,,,,,,,,,
63090,South Dakota,46,Transport injuries,30.24,1980,,,,,,,,,,,,,
63157,Tennessee,47,Transport injuries,29.41,1980,,,,,,,,,,,,,
63253,Texas,48,Transport injuries,29.68,1980,,,,,,,,,,,,,
63508,Utah,49,Transport injuries,29.07,1980,,,,,,,,,,,,,
63538,Vermont,50,Transport injuries,24.22,1980,,,,,,,,,,,,,
63553,Virginia,51,Transport injuries,22.69,1980,,,,,,,,,,,,,
63687,Washington,53,Transport injuries,26.44,1980,,,,,,,,,,,,,
63727,West Virginia,54,Transport injuries,28.73,1980,,,,,,,,,,,,,
63783,Wisconsin,55,Transport injuries,21.46,1980,,,,,,,,,,,,,
63856,Wyoming,56,Transport injuries,39.84,1980,,,,,,,,,,,,,
19165,Alabama,1,Neurological disorders,78.36,1985,,,,,,,,,,,,,
19233,Alaska,2,Neurological disorders,108.55,1985,,,,,,,,,,,,,
19263,Arizona,4,Neurological disorders,93.8,1985,,,,,,,,,,,,,
19279,Arkansas,5,Neurological disorders,58.47,1985,,,,,,,,,,,,,
19355,California,6,Neurological disorders,82.84,1985,,,,,,,,,,,,,
19414,Colorado,8,Neurological disorders,107.66,1985,,,,,,,,,,,,,
19479,Connecticut,9,Neurological disorders,78.91,1985,,,,,,,,,,,,,
19488,Delaware,10,Neurological disorders,77.63,1985,,,,,,,,,,,,,
19492,District of Columbia,11,Neurological disorders,71.62,1985,,,,,,,,,,,,,
19494,Florida,12,Neurological disorders,73.38,1985,,,,,,,,,,,,,
19562,Georgia,13,Neurological disorders,91.35,1985,,,,,,,,,,,,,
19722,Hawaii,15,Neurological disorders,77.94,1985,,,,,,,,,,,,,
19728,Idaho,16,Neurological disorders,103.81,1985,,,,,,,,,,,,,
19773,Illinois,17,Neurological disorders,75.01,1985,,,,,,,,,,,,,
19876,Indiana,18,Neurological disorders,82.16,1985,,,,,,,,,,,,,
19969,Iowa,19,Neurological disorders,90.12,1985,,,,,,,,,,,,,
20069,Kansas,20,Neurological disorders,88.99,1985,,,,,,,,,,,,,
20175,Kentucky,21,Neurological disorders,80.32,1985,,,,,,,,,,,,,
20296,Louisiana,22,Neurological disorders,72.53,1985,,,,,,,,,,,,,
20361,Maine,23,Neurological disorders,123.56,1985,,,,,,,,,,,,,
20378,Maryland,24,Neurological disorders,91.26,1985,,,,,,,,,,,,,
20403,Massachusetts,25,Neurological disorders,102.37,1985,,,,,,,,,,,,,
20418,Michigan,26,Neurological disorders,69.87,1985,,,,,,,,,,,,,
20502,Minnesota,27,Neurological disorders,114.54,1985,,,,,,,,,,,,,
20590,Mississippi,28,Neurological disorders,55.47,1985,,,,,,,,,,,,,
20673,Missouri,29,Neurological disorders,77.7,1985,,,,,,,,,,,,,
20789,Montana,30,Neurological disorders,116.46,1985,,,,,,,,,,,,,
20846,Nebraska,31,Neurological disorders,86.03,1985,,,,,,,,,,,,,
20940,Nevada,32,Neurological disorders,82.07,1985,,,,,,,,,,,,,
20958,New Hampshire,33,Neurological disorders,113.7,1985,,,,,,,,,,,,,
20969,New Jersey,34,Neurological disorders,64.88,1985,,,,,,,,,,,,,
20991,New Mexico,35,Neurological disorders,100.78,1985,,,,,,,,,,,,,
21025,New York,36,Neurological disorders,49.62,1985,,,,,,,,,,,,,
21088,North Carolina,37,Neurological disorders,91.29,1985,,,,,,,,,,,,,
21189,North Dakota,38,Neurological disorders,86.43,1985,,,,,,,,,,,,,
21243,Ohio,39,Neurological disorders,89.4,1985,,,,,,,,,,,,,
21332,Oklahoma,40,Neurological disorders,69.06,1985,,,,,,,,,,,,,
21410,Oregon,41,Neurological disorders,120.35,1985,,,,,,,,,,,,,
21447,Pennsylvania,42,Neurological disorders,71.59,1985,,,,,,,,,,,,,
21515,Rhode Island,44,Neurological disorders,83.79,1985,,,,,,,,,,,,,
21521,South Carolina,45,Neurological disorders,93.2,1985,,,,,,,,,,,,,
21568,South Dakota,46,Neurological disorders,81.34,1985,,,,,,,,,,,,,
21635,Tennessee,47,Neurological disorders,81.54,1985,,,,,,,,,,,,,
21731,Texas,48,Neurological disorders,79.07,1985,,,,,,,,,,,,,
21986,Utah,49,Neurological disorders,126.38,1985,,,,,,,,,,,,,
22016,Vermont,50,Neurological disorders,116.69,1985,,,,,,,,,,,,,
22031,Virginia,51,Neurological disorders,93.14,1985,,,,,,,,,,,,,
22165,Washington,53,Neurological disorders,125.92,1985,,,,,,,,,,,,,
22205,West Virginia,54,Neurological disorders,68.09,1985,,,,,,,,,,,,,
22261,Wisconsin,55,Neurological disorders,97.89,1985,,,,,,,,,,,,,
22334,Wyoming,56,Neurological disorders,108.03,1985,,,,,,,,,,,,,
25553,Alabama,1,Mental and substance use disorders,4.06,1985,,,,,,,,,,,,,
25621,Alaska,2,Mental and substance use disorders,10.96,1985,,,,,,,,,,,,,
25651,Arizona,4,Mental and substance use disorders,6.98,1985,,,,,,,,,,,,,
25667,Arkansas,5,Mental and substance use disorders,2.46,1985,,,,,,,,,,,,,
25743,California,6,Mental and substance use disorders,7.64,1985,,,,,,,,,,,,,
25802,Colorado,8,Mental and substance use disorders,4.49,1985,,,,,,,,,,,,,
25867,Connecticut,9,Mental and substance use disorders,3.71,1985,,,,,,,,,,,,,
25876,Delaware,10,Mental and substance use disorders,4.42,1985,,,,,,,,,,,,,
25880,District of Columbia,11,Mental and substance use disorders,14.7,1985,,,,,,,,,,,,,
25882,Florida,12,Mental and substance use disorders,4.92,1985,,,,,,,,,,,,,
25950,Georgia,13,Mental and substance use disorders,6.93,1985,,,,,,,,,,,,,
26110,Hawaii,15,Mental and substance use disorders,2.1,1985,,,,,,,,,,,,,
26116,Idaho,16,Mental and substance use disorders,3.7,1985,,,,,,,,,,,,,
26161,Illinois,17,Mental and substance use disorders,3.84,1985,,,,,,,,,,,,,
26264,Indiana,18,Mental and substance use disorders,2.65,1985,,,,,,,,,,,,,
26357,Iowa,19,Mental and substance use disorders,2.16,1985,,,,,,,,,,,,,
26457,Kansas,20,Mental and substance use disorders,2.86,1985,,,,,,,,,,,,,
26563,Kentucky,21,Mental and substance use disorders,3.57,1985,,,,,,,,,,,,,
26684,Louisiana,22,Mental and substance use disorders,3.5,1985,,,,,,,,,,,,,
26749,Maine,23,Mental and substance use disorders,3.74,1985,,,,,,,,,,,,,
26766,Maryland,24,Mental and substance use disorders,6.23,1985,,,,,,,,,,,,,
26791,Massachusetts,25,Mental and substance use disorders,2.65,1985,,,,,,,,,,,,,
26806,Michigan,26,Mental and substance use disorders,5.4,1985,,,,,,,,,,,,,
26890,Minnesota,27,Mental and substance use disorders,3.44,1985,,,,,,,,,,,,,
26978,Mississippi,28,Mental and substance use disorders,3.71,1985,,,,,,,,,,,,,
27061,Missouri,29,Mental and substance use disorders,3.39,1985,,,,,,,,,,,,,
27177,Montana,30,Mental and substance use disorders,4.45,1985,,,,,,,,,,,,,
27234,Nebraska,31,Mental and substance use disorders,2.6,1985,,,,,,,,,,,,,
27328,Nevada,32,Mental and substance use disorders,7.44,1985,,,,,,,,,,,,,
27346,New Hampshire,33,Mental and substance use disorders,2.53,1985,,,,,,,,,,,,,
27357,New Jersey,34,Mental and substance use disorders,4.78,1985,,,,,,,,,,,,,
27379,New Mexico,35,Mental and substance use disorders,10.85,1985,,,,,,,,,,,,,
27413,New York,36,Mental and substance use disorders,7.5,1985,,,,,,,,,,,,,
27476,North Carolina,37,Mental and substance use disorders,6.63,1985,,,,,,,,,,,,,
27577,North Dakota,38,Mental and substance use disorders,3.2,1985,,,,,,,,,,,,,
27631,Ohio,39,Mental and substance use disorders,2.49,1985,,,,,,,,,,,,,
27720,Oklahoma,40,Mental and substance use disorders,3.68,1985,,,,,,,,,,,,,
27798,Oregon,41,Mental and substance use disorders,5.7,1985,,,,,,,,,,,,,
27835,Pennsylvania,42,Mental and substance use disorders,3.31,1985,,,,,,,,,,,,,
